Pre,In_p,Post,Classifier,Mean Difference,Disparate Impact,Theil Index,Average Odds Difference,Equal Opportunity Difference,Accuracy,Precision,Recall,Dataset,Sens_Attr,Valid,Time,Failed,Orig Mean Difference,Orig Disparate Impact,AUC,Orig Theil,Orig Av Odds,Orig Eq Opp Diff,Score,Rank,Ovr_Rank
-,-,roc1,Logistic Regression,-0.02615803260551236,0.924176790733649,0.1047146878661429,0.0369410418782085,0.04448799608035281,0.7872622733303848,0.5513443472627146,0.7594823739402052,Adult,Race,Valid,{20.12},,-0.10411148351827143,0.6031419197588673,0.8745506795667161,0.13570907687782385,0.027484457792265368,0.05439000489955903,3,34.0,27.0
rw1,-,-,Logistic Regression,-0.007458266896619048,0.9609520077687105,0.13749708310780226,0.07059426856716745,0.11212885840274378,0.8362450243255197,0.7211874272409778,0.5528781793842035,Adult,Race,Valid,{0.31},,-0.10411148351827143,0.6031419197588673,0.8718843230238805,0.13570907687782385,0.027484457792265368,0.05439000489955903,1,34.0,4.0
di1,-,roc2,Logistic Regression,-0.003888581562591531,0.9885404679708477,0.10412355862827581,0.059236748418616925,0.06595786379225865,0.7900265369305617,0.5558093994778068,0.7599286033020973,Adult,Race,Valid,{24.2},,-0.10411148351827143,0.6031419197588673,0.8735295273241857,0.13570907687782385,0.027484457792265368,0.05439000489955903,2,36.0,25.0
rw1,-,roc2,Random Forest,-0.0442574273534867,0.8848803795352301,0.08793829907506609,0.03824897068175194,0.06746447819696233,0.7870411322423706,0.5460391698333821,0.8335564480142793,Adult,Race,Valid,{25.89},,-0.10411148351827143,0.6031419197588673,0.887120960035284,0.11737751710500567,-0.026812019920930834,-0.005372366487016111,2,37.0,15.0
di1,gsr_eo2,-,-,-0.11208266896619046,0.5689554302733753,0.11033189737316314,-0.05184506562323296,-0.050548750612444904,0.8428792569659442,0.6855203619909502,0.6760374832663989,Adult,Race,Valid,{27.16},,-0.10411148351827143,0.6031419197588673,0.8985593672319409,0.13570907687782385,0.027484457792265368,0.05439000489955903,3,38.0,31.0
rw1,pr2,eop3,-,-0.0942402959686002,0.6052551790075575,0.14291440012366358,-0.008116293528888416,-0.010866910866910828,0.8185537372843874,0.6595744680851063,0.5533244087460955,Adult,Sex,Valid,{42.37},,-0.19225202893340865,0.3813350053052956,0.8993101450176553,0.13570907687782385,-0.09005812493043372,-0.097028897028897,3,39.0,32.0
-,pr1,-,-,-0.10974626598548697,0.5075974917144818,0.12381049568126457,-0.06647641123644146,-0.08391474767270946,0.8452012383900929,0.7240277037826318,0.606425702811245,Adult,Race,Valid,{49.8},,-0.10411148351827143,0.6031419197588673,0.8988319718516709,0.13570907687782385,0.027484457792265368,0.05439000489955903,2,40.0,52.0
rw1,pr2,-,-,-0.10974626598548697,0.5075974917144818,0.12381049568126457,-0.06647641123644146,-0.08391474767270946,0.8452012383900929,0.7240277037826318,0.606425702811245,Adult,Race,Valid,{47.86},,-0.10411148351827143,0.6031419197588673,0.8988319718516709,0.13570907687782385,0.027484457792265368,0.05439000489955903,2,40.0,52.0
-,pr1,cpp2,-,-0.07478482639679802,0.6020342343590366,0.1457940040493265,-0.011839370040788524,0.012116609505144593,0.8319327731092437,0.7246105919003115,0.5189647478804106,Adult,Race,Valid,{50.37},,-0.10411148351827143,0.6031419197588673,0.8692640127859176,0.13570907687782385,0.027484457792265368,0.05439000489955903,4,42.0,66.0
di1,egr_fp2,roc3,-,-0.004356841820352564,0.9862845176235071,0.12116161309725594,0.0619477050320045,0.012169312169312163,0.7796329057938965,0.5433566433566434,0.6934404283801874,Adult,Sex,Valid,{86.17},,-0.19225202893340865,0.3813350053052956,0.7966284265879235,0.13570907687782385,-0.09005812493043372,-0.097028897028897,4,43.0,16.0
rw1,egr_fp2,cpp3,-,-0.13484993852860777,0.42646340830000523,0.13018344886217914,-0.019343460753372118,0.008709808709808753,0.8456435205661211,0.7446438911407064,0.573850959393128,Adult,Sex,Valid,{55.24},,-0.19225202893340865,0.3813350053052956,0.7752616292665067,0.13570907687782385,-0.09005812493043372,-0.097028897028897,4,44.0,22.0
rw1,-,eop2,Naive Bayes,-0.10140204066814976,0.6936278135401457,0.11736431991316229,-0.01740268248714058,-0.042409442409442444,0.7983193277310925,0.5774229483847011,0.6938866577420795,Adult,Sex,Valid,{0.15},,-0.19225202893340865,0.3813350053052956,0.8895693181532702,0.09777133936127072,-0.19685032583979642,-0.1894586894586895,3,45.0,43.0
di1,-,roc2,Random Forest,-0.019395317431909143,0.9499184966411374,0.09240295046842281,0.06563557242013829,0.1021631553160216,0.7749889429455993,0.5296147211040828,0.821954484605087,Adult,Race,Valid,{26.73},,-0.10411148351827143,0.6031419197588673,0.8834532275475231,0.11737751710500567,-0.026812019920930834,-0.005372366487016111,2,46.0,24.0
rw1,-,-,Naive Bayes,-0.1719624728085954,0.48043926496677736,0.1087269303862131,-0.029066572167116042,0.02311762311762311,0.8265148164528969,0.6352657004830918,0.7041499330655957,Adult,Sex,Valid,{0.12},,-0.19225202893340865,0.3813350053052956,0.8895693181532702,0.09777133936127072,-0.19685032583979642,-0.1894586894586895,3,46.0,33.0
di1,pr2,eop3,-,-0.09146481320667954,0.6401752950045116,0.1489467152261426,-0.006301501553340853,-0.00272690272690268,0.8001990269792127,0.6070019723865878,0.5493083444890674,Adult,Sex,Valid,{58.69},,-0.19225202893340865,0.3813350053052956,0.8987987161870407,0.13570907687782385,-0.09005812493043372,-0.097028897028897,3,48.0,37.0
rw1,-,eop2,Logistic Regression,-0.06052927011812176,0.7171665336222298,0.14254275048907608,-0.015210389679119848,-0.01914012738853499,0.8204334365325078,0.6659494351802044,0.5524319500223115,Adult,Race,Valid,{0.3},,-0.10411148351827143,0.6031419197588673,0.8718843230238805,0.13570907687782385,0.027484457792265368,0.05439000489955903,3,49.0,12.0
-,pr1,roc2,-,-0.04472068762696446,0.8803908433829385,0.10037089927010363,0.09605701324659174,0.1389092389092389,0.7810703228659885,0.5401662049861495,0.7831325301204819,Adult,Sex,Valid,{61.21},,-0.19225202893340865,0.3813350053052956,0.8993101450176553,0.13570907687782385,-0.09005812493043372,-0.097028897028897,2,50.0,40.0
rw1,pr2,roc3,-,-0.04472068762696446,0.8803908433829385,0.10037089927010363,0.09605701324659174,0.1389092389092389,0.7810703228659885,0.5401662049861495,0.7831325301204819,Adult,Sex,Valid,{62.05},,-0.19225202893340865,0.3813350053052956,0.8993101450176553,0.13570907687782385,-0.09005812493043372,-0.097028897028897,2,50.0,40.0
-,egr_fp1,-,-,-0.11605559047729644,0.5108453906563292,0.13433738559916336,-0.014605105367735117,-0.0034188034188035177,0.8353604599734631,0.7086570477247502,0.5698348951361,Adult,Sex,Valid,{64.58},,-0.19225202893340865,0.3813350053052956,0.7781978027254296,0.13570907687782385,-0.09005812493043372,-0.097028897028897,4,52.0,11.0
-,-,eop1,Naive Bayes,-0.07576779289836116,0.7747704220880584,0.1357013721746657,0.010590489592303381,0.011355311355311426,0.7606147722246793,0.5134847409510291,0.6456938866577421,Adult,Sex,Valid,{0.16},,-0.19225202893340865,0.3813350053052956,0.8927746525980118,0.09777133936127072,-0.19685032583979642,-0.1894586894586895,3,53.0,38.0
di1,pr2,roc3,-,-0.04611941991966201,0.8716842122820748,0.10229855775774402,0.09944506929143818,0.149084249084249,0.788920831490491,0.5533076429030186,0.7688531905399375,Adult,Sex,Valid,{77.96},,-0.19225202893340865,0.3813350053052956,0.8987987161870407,0.13570907687782385,-0.09005812493043372,-0.097028897028897,2,54.0,46.0
rw1,-,cpp2,Naive Bayes,-0.08039316976343105,0.7150529108157204,0.11993321090104639,0.013912547116685312,0.07355952964233214,0.8123617868199912,0.6110204081632653,0.6680053547523427,Adult,Race,Valid,{0.26},,-0.10411148351827143,0.6031419197588673,0.8742033972858786,0.09777133936127072,-0.10404227620990618,-0.1060901518863302,3,55.0,58.0
rw1,egr_fp2,cpp3,-,-0.0469774006703329,0.7422537537269465,0.1420559775276133,0.03278372398520521,0.07966682998530128,0.8379035824856258,0.7438640654499685,0.5274431057563588,Adult,Race,Valid,{61.7},,-0.10411148351827143,0.6031419197588673,0.7768545559243851,0.13570907687782385,0.027484457792265368,0.05439000489955903,1,56.0,22.0
rw1,pr2,cpp3,-,-0.06861516058702936,0.6224710400515641,0.15160598843068632,-0.0003961378651222251,0.03465458108770214,0.8270676691729323,0.7174052665382146,0.49843819723337796,Adult,Race,Valid,{48.37},,-0.10411148351827143,0.6031419197588673,0.8611392341213877,0.13570907687782385,0.027484457792265368,0.05439000489955903,3,57.0,67.0
