,Pre,In_p,Post,Classifier,Mean Difference,Disparate Impact,Theil Index,Average Odds Difference,Equal Opportunity Difference,Accuracy,Precision,Recall,Dataset,Sens_Attr,Valid,Time,AUC,Orig Disparate Impact,Orig Mean Difference,Score,Rank,Ovr_Rank,Orig Theil,Orig Av Odds,Orig Eq Opp Diff,Orig AUC
515,di,mfc_sr,cpp,-,-0.08661949940534112,0.5866131320949433,0.07100050749882654,0.16213389121338911,0.32426778242677823,0.8310855626796374,0.8223472004275305,0.8310855626796374,Adult,Sex,Valid,{86.46},0.7342387271633771,0.3963933926080893,-0.1871709103686885,3,116.0,32.0,0.1317133019031189,0.02768584838728159,0.07236326358318751,0.7521652371824058
516,di,pr,eop,-,-0.0008103727714748784,0.5,0.7677123905892422,-0.0005110630110630108,-0.001022126022126022,0.3187466234467855,0.32223378651055856,0.3187466234467855,Compas,Race,Fail,{68.66},0.3196982360909917,0.8148148148148148,-0.11345218800648305,3,116.0,55.0,0.1317133019031189,0.02768584838728159,0.07236326358318751,0.7521652371824058
517,rw,-,eop,Naive Bayes,0.057168357822801275,1.3190938431136907,0.12062120044353634,0.2988318311195446,0.4506048387096774,0.8251160734026088,0.8377655918918545,0.8251160734026088,Adult,Sex,Valid,{0.33},0.7988073926624989,0.3209402430790007,-0.22144223499856386,2,117.0,44.0,0.0942743222984947,-0.2162320245245655,-0.2271238801359277,0.806527198874652
518,rw,-,eop,Naive Bayes,-0.0020274832563826487,0.24983119513842,0.7677123905892421,-0.0016267324406859288,-0.0032534648813718576,0.4759589411129119,0.5435572522516539,0.4759589411129119,Compas,Sex,Fail,{0.17},0.5086146986939138,0.8789515683506229,-0.07197474314287278,3,119.0,44.0,0.7109277576870648,0.004545899772701533,0.0048390885600188005,0.5086146986939131
519,-,-,eop,Naive Bayes,-0.0020274832563826487,0.24983119513842,0.7677123905892421,-0.0016267324406859288,-0.0032534648813718576,0.4759589411129119,0.5435572522516539,0.4759589411129119,Compas,Sex,Fail,{0.15},0.5086146986939138,0.8789515683506229,-0.07197474314287278,3,119.0,45.0,0.7109277576870648,0.004545899772701533,0.0048390885600188005,0.5086146986939131
520,rw,pr,eop,-,0.04585829374096262,1.3148936170212766,1.2072888297497704,0.009169260924708857,0.009863945578231292,0.5866666666666667,0.552,0.5866666666666667,German,Sex,Fail,{13.21},0.31143836683808634,0.8944854537559705,-0.07529436066928319,3,119.0,50.0,0.1317133019031189,0.02768584838728159,0.07236326358318751,0.7521652371824058
521,-,pr,eop,-,0.04585829374096262,1.3148936170212766,1.2072888297497704,0.009169260924708857,0.009863945578231292,0.5866666666666667,0.552,0.5866666666666667,German,Sex,Fail,{11.04},0.31143836683808634,0.8944854537559705,-0.07529436066928319,3,119.0,51.0,0.1317133019031189,0.02768584838728159,0.07236326358318751,0.7521652371824058
522,rw,-,eop,Naive Bayes,-0.29869861598843217,0.5814155449413808,0.19182182067310552,-0.022058823529411745,-0.75,0.73,0.7546088657105607,0.73,German,Sex,Fail,{0.02},0.7214430419199003,0.8944854537559705,-0.07529436066928319,2,121.0,44.0,0.22816134830365475,-0.11771200005425915,-0.08537414965986385,0.7214430419198992
523,-,-,eop,Naive Bayes,-0.29869861598843217,0.5814155449413808,0.19182182067310552,-0.022058823529411745,-0.75,0.73,0.7546088657105607,0.73,German,Sex,Fail,{0.01},0.7214430419199003,0.8944854537559705,-0.07529436066928319,2,121.0,45.0,0.22816134830365475,-0.11771200005425915,-0.08537414965986385,0.7214430419198992
524,di,mfc_fdr,eop,-,-0.0008103727714748784,0.5,0.7677123905892422,-0.0005110630110630108,-0.001022126022126022,0.3171258779038358,0.3166413555355647,0.3171258779038358,Compas,Race,Fail,{470.96},0.32397887910895945,0.8148148148148148,-0.11345218800648305,3,121.0,48.0,0.1317133019031189,0.02768584838728159,0.07236326358318751,0.7521652371824058
