Pre,In_p,Post,Classifier,Mean Difference,Disparate Impact,Theil Index,Average Odds Difference,Equal Opportunity Difference,Orig Mean Difference,Orig Disparate Impact,Accuracy,Precision,Recall,AUC,Dataset,Sens_Attr,Valid,Time,Failed,Orig Theil,Orig Av Odds,Orig Eq Opp Diff,Score,Rank,Ovr_Rank
di1,gsr_eo2,roc3,-,-0.04643678416669911,0.8731574349117596,0.10093305450407912,0.10769102681854041,0.15414814114085706,-0.20725659581805944,0.34286072064763046,0.7862671384343211,0.5485192186515437,0.7768853190539937,0.8992709859806056,Adult,Sex,Valid,{39.91},,0.1610712746768744,-0.10397704879817171,-0.12653029270058946,2,67.0,9.0
-,gsr_eo1,roc2,-,-0.04771461787921438,0.8586422550530226,0.10523116262363795,0.1152903715898783,0.17490760343033485,-0.20725659581805944,0.34286072064763046,0.8001990269792127,0.5745192307692307,0.7465417224453369,0.899614103104236,Adult,Sex,Valid,{35.81},,0.1610712746768744,-0.10397704879817171,-0.12653029270058946,2,68.0,5.0
rw1,gsr_eo2,roc3,-,-0.04771461787921438,0.8586422550530226,0.10523116262363795,0.1152903715898783,0.17490760343033485,-0.20725659581805944,0.34286072064763046,0.8001990269792127,0.5745192307692307,0.7465417224453369,0.899614103104236,Adult,Sex,Valid,{37.41},,0.1610712746768744,-0.10397704879817171,-0.12653029270058946,2,68.0,5.0
-,-,-,Logistic Regression,-0.023512249538765156,0.8537496663997867,0.1610712746768744,0.036234480157762726,0.07277645215934131,-0.0903265113485219,0.6532872200263504,0.8225342768686422,0.723314606741573,0.4596162427487729,0.8653144598581498,Adult,Race,Valid,{0.3},,0.1610712746768744,0.036234480157762726,0.07277645215934131,1,70.0,55.0
-,gsr_eo1,eop2,-,-0.08694898566525563,0.6333099524954547,0.1404638451846152,0.02756173087529913,0.051425663575364045,-0.20725659581805944,0.34286072064763046,0.8214285714285714,0.6657838983050848,0.5609103078982597,0.899614103104236,Adult,Sex,Valid,{18.7},,0.1610712746768744,-0.10397704879817171,-0.12653029270058946,4,70.0,8.0
rw1,pr2,cpp3,-,-0.08354914832453768,0.5831128238064655,0.13429155491978623,-0.05495202287518879,-0.07970255550900718,-0.0903265113485219,0.6532872200263504,0.8413312693498453,0.7362250879249707,0.5604640785363677,0.8867398317525743,Adult,Race,Valid,{63.18},,0.1610712746768744,0.036234480157762726,0.07277645215934131,3,72.0,67.0
di1,egr_fp2,-,-,-0.14697535224978167,0.46044108637941594,0.12358075223784887,-0.03267667039859156,-0.022989049416262453,-0.20725659581805944,0.34286072064763046,0.8358027421494914,0.6862068965517242,0.6215975011155734,0.8013911362699726,Adult,Sex,Valid,{69.61},,0.1610712746768744,-0.10397704879817171,-0.12653029270058946,4,73.0,57.0
di1,egr_fp2,cpp3,-,-0.068185523662419,0.6803057734862201,0.13363801623341118,-0.03814119786145204,-0.060784411941494754,-0.0903265113485219,0.6532872200263504,0.833812472357364,0.7003257328990228,0.5756358768406962,0.782582499793546,Adult,Race,Valid,{85.67},,0.1610712746768744,0.036234480157762726,0.07277645215934131,3,73.0,64.0
-,-,-,Random Forest,-0.09289054790406315,0.5963832960477257,0.12642391903947714,-0.05567074836571344,-0.0703516329392907,-0.0903265113485219,0.6532872200263504,0.8361344537815126,0.6933265410086602,0.607318161535029,0.8844783153716668,Adult,Race,Valid,{2.66},,0.12642391903947714,-0.05567074836571344,-0.0703516329392907,1,75.0,15.0
rw1,egr_fp2,-,-,-0.1146116491352984,0.503593894932119,0.13702294873430843,-0.008530717628388675,0.000761680459552716,-0.20725659581805944,0.34286072064763046,0.8349181777974347,0.7137142857142857,0.5573404730031236,0.7736920537261989,Adult,Sex,Valid,{72.05},,0.1610712746768744,-0.10397704879817171,-0.12653029270058946,4,75.0,39.0
di1,gsr_eo2,-,-,-0.19525790858471515,0.31100075569469937,0.11932934010260343,-0.08386589503726133,-0.07987043277150563,-0.20725659581805944,0.34286072064763046,0.8445378151260504,0.7101157523905385,0.6296296296296297,0.8992709859806056,Adult,Sex,Valid,{20.89},,0.1610712746768744,-0.10397704879817171,-0.12653029270058946,5,77.0,48.0
