Pre,In_p,Post,Classifier,Ovr_Rank,Mean Difference,Disparate Impact,Theil Index,Average Odds Difference,Equal Opportunity Difference,Orig Mean Difference,Orig Disparate Impact,Accuracy,Precision,Recall,AUC,Dataset,Sens_Attr,Valid,Time,Failed,Orig Theil,Orig Av Odds,Orig Eq Opp Diff,Score,Perf_Rank,Fair_Rank,Rank
di1,pr2,-,-,11.0,-0.19052573219819774,0.3165998044252036,0.11436681840209398,-0.07259052974871866,-0.05034864071139111,-0.19183395271994255,0.36778924190238754,0.8492923485183547,0.7078651685393258,0.6366559485530546,0.9041873020287892,Adult,Sex,Valid,{39.4},,0.14447517109738128,-0.043493155210413026,-0.019971780610654466,3,26.75,73.0,11.0
di1,gsr_eo2,cpp3,-,12.0,-0.07407822291298091,0.6705946144655823,0.11728893385365649,-0.04188208917164919,-0.07347902390105299,-0.09858343942725817,0.6122252211238293,0.8461963732861566,0.7023686920700309,0.6265502985760221,0.8963358138913253,Adult,Race,Valid,{20.97},,0.14447517109738128,0.03280595796506555,0.05440414507772018,2,40.5,65.0,12.0
di1,-,roc2,Naive Bayes,13.0,-0.07186265108050466,0.7692114695340501,0.09282891853795712,-0.0011590096760178553,0.013734226140732053,-0.09858343942725817,0.6122252211238293,0.8283945157010173,0.6145947928126146,0.7698667891593937,0.8974282280047726,Adult,Race,Valid,{22.96},,0.09102549774306413,-0.14146830950762174,-0.18317785809794418,3,57.75,51.0,13.0
di1,pr2,-,-,14.0,-0.13381103156363156,0.4731275023599492,0.10847814334675925,-0.1387822785224654,-0.22988832943339466,-0.09858343942725817,0.6122252211238293,0.8465280849181778,0.685124354763022,0.6706476802939826,0.9025090138713381,Adult,Race,Valid,{39.2},,0.14447517109738128,0.03280595796506555,0.05440414507772018,2,35.75,74.5,14.0
di1,gsr_eo2,eop3,-,15.0,-0.05574849952877764,0.753226721314475,0.11819452273428122,-0.02443648942227674,-0.056926917934146726,-0.09858343942725817,0.6122252211238293,0.8428792569659442,0.6914893617021277,0.6270096463022508,0.9019982596025715,Adult,Race,Valid,{20.48},,0.14447517109738128,0.03280595796506555,0.05440414507772018,3,38.75,73.5,15.0
-,gsr_eo1,cpp2,-,16.0,-0.06650146326945652,0.6694411341688925,0.12608508601462237,-0.039442186338281324,-0.07424421276951354,-0.09858343942725817,0.6122252211238293,0.846749226006192,0.7276914219919401,0.5806155259531466,0.8948165281432592,Adult,Race,Valid,{14.37},,0.14447517109738128,0.03280595796506555,0.05440414507772018,2,38.0,76.0,16.0
-,pr1,roc2,-,17.0,-0.06532216729220747,0.8414881238966458,0.07642824257588979,0.005891912824655288,0.018993920274109954,-0.09858343942725817,0.6122252211238293,0.7818443166740381,0.5279758639605047,0.8842443729903537,0.902772300990959,Adult,Race,Valid,{80.01},,0.14447517109738128,0.03280595796506555,0.05440414507772018,4,67.25,49.0,17.0
rw1,pr2,roc3,-,17.0,-0.06532216729220747,0.8414881238966458,0.07642824257588979,0.005891912824655288,0.018993920274109954,-0.09858343942725817,0.6122252211238293,0.7818443166740381,0.5279758639605047,0.8842443729903537,0.902772300990959,Adult,Race,Valid,{82.01},,0.14447517109738128,0.03280595796506555,0.05440414507772018,4,67.25,49.0,17.0
rw1,-,-,Naive Bayes,19.0,-0.12557869413534828,0.6014574505765522,0.09331879090964544,-0.07962758107322372,-0.10112245111148255,-0.09858343942725817,0.6122252211238293,0.8300530738611234,0.6187824795842614,0.7657326596233348,0.8987574399849518,Adult,Race,Valid,{0.27},,0.09102549774306413,-0.14146830950762174,-0.18317785809794418,3,53.75,63.0,19.0
-,gsr_eo1,eop2,-,20.0,-0.04720656073808305,0.7606237816764132,0.12920067032948762,-0.017213419768509916,-0.046099364867123516,-0.09858343942725817,0.6122252211238293,0.8432109685979655,0.72,0.5705098759761139,0.9027562803443255,Adult,Race,Valid,{14.33},,0.14447517109738128,0.03280595796506555,0.05440414507772018,4,37.0,80.0,20.0
