Pre,In_p,Post,Classifier,Ovr_Rank,Mean Difference,Disparate Impact,Theil Index,Average Odds Difference,Equal Opportunity Difference,Accuracy,Precision,Recall,Dataset,Sens_Attr,Valid,Time,Failed,Orig Mean Difference,Orig Disparate Impact,AUC,Orig Theil,Orig Av Odds,Orig Eq Opp Diff,Score,Perf_Rank,Fair_Rank,Rank
-,-,-,Naive Bayes,31.0,-0.17440695063616543,0.4994887215236566,0.09324782616363396,-0.12620099941319382,-0.14862812346888776,0.8173374613003096,0.6004776526782668,0.785363676929942,Adult,Race,Valid,{0.1},,-0.10411148351827143,0.6031419197588673,0.8977636254262973,0.09324782616363396,-0.12620099941319382,-0.14862812346888776,1,68.0,60.5,31.0
-,-,-,Random Forest,31.0,-0.10086232143438223,0.5799203100859242,0.11933169229013332,-0.02898750586479918,-0.005472807447329697,0.8408889871738169,0.6961839530332681,0.6349843819723338,Adult,Race,Valid,{3.0},,-0.10411148351827143,0.6031419197588673,0.8928807493189966,0.11933169229013332,-0.02898750586479918,-0.005472807447329697,2,56.0,72.5,31.0
-,gsr_eo1,roc2,-,33.0,-0.0716572841755882,0.8212015167138947,0.07960665379199784,0.017360135951682495,0.05218765311121998,0.7913533834586466,0.5500848896434635,0.8674698795180723,Adult,Race,Valid,{43.75},,-0.10411148351827143,0.6031419197588673,0.905094105331775,0.1450426100556762,0.032063451007937144,0.05466682998530126,4,66.75,62.0,33.0
rw1,-,-,Random Forest,33.0,-0.19071447326583274,0.3281271893652904,0.12102440095190103,-0.08109081116836585,-0.07830488835088156,0.8413312693498453,0.7015,0.6260597947344936,Adult,Sex,Valid,{3.12},,-0.20787328732596289,0.34247480246555784,0.8920365998595128,0.11875671832303863,-0.08300116744310194,-0.07680468929534334,3,57.75,71.0,33.0
rw1,gsr_eo2,roc3,-,33.0,-0.0716572841755882,0.8212015167138947,0.07960665379199784,0.017360135951682495,0.05218765311121998,0.7913533834586466,0.5500848896434635,0.8674698795180723,Adult,Race,Valid,{36.35},,-0.10411148351827143,0.6031419197588673,0.905094105331775,0.1450426100556762,0.032063451007937144,0.05466682998530126,4,66.75,62.0,33.0
-,pr1,roc2,-,36.0,-0.07226174345702291,0.8091258560556445,0.09798123085966778,0.08516867921650113,0.13457610880408077,0.7881468376824414,0.5506388282954191,0.7884872824631861,Adult,Sex,Valid,{84.6},,-0.20787328732596289,0.34247480246555784,0.9060152938013344,0.1450426100556762,-0.1360620395426585,-0.18176359970093126,4,66.25,63.0,36.0
rw1,pr2,roc3,-,36.0,-0.07226174345702291,0.8091258560556445,0.09798123085966778,0.08516867921650113,0.13457610880408077,0.7881468376824414,0.5506388282954191,0.7884872824631861,Adult,Sex,Valid,{85.55},,-0.20787328732596289,0.34247480246555784,0.9060152938013344,0.1450426100556762,-0.1360620395426585,-0.18176359970093126,4,66.25,63.0,36.0
rw1,-,-,Naive Bayes,38.0,-0.17459918968235416,0.4865227318934643,0.10707359132099462,-0.016239432422039,0.04285034583876823,0.8238611233967271,0.6267605633802817,0.714859437751004,Adult,Sex,Valid,{0.12},,-0.20787328732596289,0.34247480246555784,0.8943011663161704,0.09324782616363396,-0.21434044664655746,-0.22444563841804255,3,68.75,61.5,38.0
rw1,-,cpp2,Random Forest,39.0,-0.0892234226025837,0.6225349495116361,0.11980664847728388,-0.007529122165782498,0.030896619304262685,0.8414418398938522,0.6992592592592592,0.6318607764390897,Adult,Race,Valid,{3.27},,-0.10411148351827143,0.6031419197588673,0.890499000919811,0.11933169229013332,-0.02898750586479918,-0.005472807447329697,2,59.0,71.5,39.0
di1,-,-,Naive Bayes,40.0,-0.18603161302918875,0.5614163789796701,0.07910134754848595,-0.10037842443149768,-0.0689808917197452,0.7865988500663423,0.5431824493196334,0.8728246318607764,Adult,Race,Valid,{4.28},,-0.10411148351827143,0.6031419197588673,0.8974609792002542,0.09324782616363396,-0.12620099941319382,-0.14862812346888776,4,79.75,51.0,40.0
di1,-,roc2,Naive Bayes,41.0,-0.0759888223617845,0.7832075401632991,0.08972354706287301,0.012183504839788611,0.04794218520333171,0.8119195046439629,0.5878334417696812,0.8063364569388666,Adult,Race,Valid,{23.95},,-0.10411148351827143,0.6031419197588673,0.8974609792002542,0.09324782616363396,-0.12620099941319382,-0.14862812346888776,4,70.25,61.0,41.0
rw1,-,eop2,Naive Bayes,41.0,-0.12786079022035013,0.6239752923267804,0.1141996152734256,-0.024139247866611466,-0.03478940571402678,0.8029632905793896,0.5851576994434138,0.7037037037037037,Adult,Sex,Valid,{0.15},,-0.20787328732596289,0.34247480246555784,0.8943011663161704,0.09324782616363396,-0.21434044664655746,-0.22444563841804255,3,80.75,50.5,41.0
-,-,roc1,Naive Bayes,43.0,-0.07561704793205559,0.8011154046952697,0.0856015660423664,0.012308646320977334,0.0475649191572759,0.7972136222910217,0.560873466945857,0.8366800535475234,Adult,Race,Valid,{19.23},,-0.10411148351827143,0.6031419197588673,0.8977636254262973,0.09324782616363396,-0.12620099941319382,-0.14862812346888776,4,72.0,59.5,43.0
-,-,cpp1,Random Forest,44.0,-0.09281344570629005,0.6054160614235319,0.12072619764363206,-0.010331799417864568,0.02981626653601177,0.8411101282618311,0.7,0.6278447121820616,Adult,Race,Valid,{3.17},,-0.10411148351827143,0.6031419197588673,0.8916830862411214,0.11933169229013332,-0.02898750586479918,-0.005472807447329697,2,58.5,73.5,44.0
rw1,-,roc2,Naive Bayes,45.0,-0.07511185773323353,0.8046237869727325,0.08467201135199967,0.010358872733276916,0.04168544830965215,0.7955550641309155,0.5579538734476641,0.8420348058902276,Adult,Race,Valid,{19.9},,-0.10411148351827143,0.6031419197588673,0.8980783735658002,0.09324782616363396,-0.12620099941319382,-0.14862812346888776,4,72.0,61.0,45.0
rw1,gsr_eo2,eop3,-,45.0,-0.10709354770448776,0.5645962260105555,0.13341146680376065,-0.00047665206863881787,0.005403629607812044,0.8300530738611234,0.6846799580272823,0.5823293172690763,Adult,Sex,Valid,{18.63},,-0.20787328732596289,0.34247480246555784,0.905094105331775,0.1450426100556762,-0.1360620395426585,-0.18176359970093126,4,62.0,71.0,45.0
-,gsr_eo1,eop2,-,47.0,-0.10709354770448776,0.5645962260105555,0.13388900533669892,-0.007578141393927401,-0.011166530186853318,0.8293896505970809,0.683105981112277,0.5809906291834003,Adult,Sex,Valid,{16.34},,-0.20787328732596289,0.34247480246555784,0.905094105331775,0.1450426100556762,-0.1360620395426585,-0.18176359970093126,4,63.25,71.0,47.0
di1,pr2,roc3,-,48.0,-0.05600354084659026,0.8407022057456406,0.10097814831622676,0.10876336182010243,0.1673636307730152,0.7989827509951349,0.5701958181214736,0.7666220437304775,Adult,Sex,Valid,{75.34},,-0.20787328732596289,0.34247480246555784,0.90594360062295,0.1450426100556762,-0.1360620395426585,-0.18176359970093126,4,65.5,69.0,48.0
rw1,gsr_eo2,cpp3,-,48.0,-0.1335455330048781,0.38913233960843263,0.14253970584115724,-0.009262583790493752,0.03221139374480109,0.8377930119416187,0.7449367088607595,0.5252119589468988,Adult,Sex,Valid,{18.64},,-0.20787328732596289,0.34247480246555784,0.8856532832622405,0.1450426100556762,-0.1360620395426585,-0.18176359970093126,4,60.0,74.5,48.0
rw1,-,eop2,Naive Bayes,50.0,-0.07503538771924115,0.7663029157503218,0.09773715552109725,-0.02619898956322038,-0.046780989710926035,0.8195488721804511,0.6084015663937344,0.7626059794734493,Adult,Race,Valid,{0.17},,-0.10411148351827143,0.6031419197588673,0.8980783735658002,0.09324782616363396,-0.12620099941319382,-0.14862812346888776,3,68.0,67.0,50.0
rw1,-,roc2,Random Forest,50.0,-0.0935073704077316,0.7517955162838104,0.08857718823223537,0.0043628606715625795,0.05628368446839782,0.7967713401149934,0.5612648221343873,0.8237394020526551,Adult,Race,Valid,{22.81},,-0.10411148351827143,0.6031419197588673,0.8928784863595693,0.11933169229013332,-0.02898750586479918,-0.005472807447329697,3,77.5,57.5,50.0
rw1,-,-,Random Forest,52.0,-0.09807441996680874,0.5839591126816946,0.1212893649188884,-0.025996001706220715,-0.001163645271925473,0.8404467049977886,0.6987051792828686,0.6260597947344936,Adult,Race,Valid,{2.97},,-0.10411148351827143,0.6031419197588673,0.8915839423809861,0.11933169229013332,-0.02898750586479918,-0.005472807447329697,4,61.25,74.0,52.0
-,-,eop1,Random Forest,53.0,-0.08018409749113276,0.6647865241907508,0.1202291580906633,-0.022877603542391343,-0.02096276335129843,0.8384564352056613,0.6891367604267701,0.6340919232485498,Adult,Race,Valid,{3.01},,-0.10411148351827143,0.6031419197588673,0.8917447436863922,0.11933169229013332,-0.02898750586479918,-0.005472807447329697,2,60.5,75.5,53.0
rw1,-,eop2,Random Forest,54.0,-0.07387491458136736,0.6901634310280118,0.12041777683413059,-0.016719605997467184,-0.014982851543361098,0.83812472357364,0.6883179835191469,0.6336456938866577,Adult,Race,Valid,{3.21},,-0.10411148351827143,0.6031419197588673,0.8929556565556984,0.11933169229013332,-0.02898750586479918,-0.005472807447329697,2,59.75,76.5,54.0
di1,-,-,Random Forest,55.0,-0.11512967361947221,0.5473931982013674,0.11865676852719066,-0.0582357683469753,-0.05713130818226364,0.8345864661654135,0.6728538283062645,0.6470325747434181,Adult,Race,Valid,{7.15},,-0.10411148351827143,0.6031419197588673,0.8899541524419989,0.11933169229013332,-0.02898750586479918,-0.005472807447329697,2,65.5,71.0,55.0
-,-,eop1,Naive Bayes,56.0,-0.07589323484429406,0.7726417531426232,0.10062127129715497,-0.03402339373365203,-0.06227094561489466,0.8065015479876161,0.5839890523434828,0.7617135207496654,Adult,Race,Valid,{0.15},,-0.10411148351827143,0.6031419197588673,0.8977636254262973,0.09324782616363396,-0.12620099941319382,-0.14862812346888776,3,74.5,62.5,56.0
di1,-,cpp2,Naive Bayes,56.0,-0.17060744850476717,0.582601902714752,0.08490238302577034,-0.08076806530039378,-0.0405634492895639,0.7870411322423706,0.5452456190749785,0.8469433288710397,Adult,Race,Valid,{4.39},,-0.10411148351827143,0.6031419197588673,0.8917490400296533,0.09324782616363396,-0.12620099941319382,-0.14862812346888776,4,85.5,51.5,56.0
di1,pr2,roc3,-,56.0,-0.06891615957827602,0.8318696389090664,0.07927129356033015,0.01835907955685978,0.05130818226359635,0.7847191508182221,0.5406077348066298,0.8732708612226685,Adult,Race,Valid,{64.8},,-0.10411148351827143,0.6031419197588673,0.9048033970366252,0.1450426100556762,0.032063451007937144,0.05466682998530126,4,75.0,62.0,56.0
rw1,-,cpp2,Naive Bayes,59.0,-0.1877128413299668,0.44795690558483603,0.10946082601119114,-0.05497030938821006,-0.028578225589803163,0.8230871295886776,0.6273341279300755,0.7045961624274877,Adult,Sex,Valid,{0.22},,-0.20787328732596289,0.34247480246555784,0.8901100998634156,0.09324782616363396,-0.21434044664655746,-0.22444563841804255,3,74.5,63.0,59.0
di1,-,eop2,Naive Bayes,60.0,-0.08793034720640391,0.7926975450709629,0.08060457817411158,-0.03601752217585864,-0.053980891719745294,0.7735515258735073,0.5259060402684563,0.8741633199464525,Adult,Race,Valid,{4.34},,-0.10411148351827143,0.6031419197588673,0.8974609792002542,0.09324782616363396,-0.12620099941319382,-0.14862812346888776,4,82.25,55.5,60.0
-,-,-,Naive Bayes,61.0,-0.32405205354699546,0.24751493304121566,0.09324782616363396,-0.21434044664655746,-0.22444563841804255,0.8173374613003096,0.6004776526782668,0.785363676929942,Adult,Sex,Valid,{0.1},,-0.20787328732596289,0.34247480246555784,0.8977636254262973,0.09324782616363396,-0.21434044664655746,-0.22444563841804255,1,68.0,71.5,61.0
-,-,eop1,Random Forest,61.0,-0.11477239867982705,0.6037153242397325,0.12567719683036518,-0.030959809467773367,-0.062318948468890745,0.8161211853162318,0.6268656716417911,0.6372155287817939,Adult,Sex,Valid,{2.99},,-0.20787328732596289,0.34247480246555784,0.8920446022087928,0.11875671832303863,-0.08300116744310194,-0.07680468929534334,3,81.0,58.5,61.0
di1,gsr_eo2,roc3,-,63.0,-0.05929677191341992,0.8403143719989091,0.09927781265352352,0.0969993857812633,0.14497716525493676,0.7882574082264485,0.5512256442489001,0.7826863007585899,Adult,Sex,Valid,{42.41},,-0.20787328732596289,0.34247480246555784,0.9050255934151948,0.1450426100556762,-0.1360620395426585,-0.18176359970093126,4,74.25,65.5,63.0
-,gsr_eo1,roc2,-,64.0,-0.054747293678658215,0.8527620413693153,0.09850584873902221,0.10737143090181608,0.16256849614350122,0.7880362671384343,0.550625,0.786256135653726,Adult,Sex,Valid,{34.36},,-0.20787328732596289,0.34247480246555784,0.905094105331775,0.1450426100556762,-0.1360620395426585,-0.18176359970093126,4,71.5,69.0,64.0
di1,-,-,Naive Bayes,64.0,-0.297293290893399,0.255233068211749,0.09964458578323991,-0.1995936340276652,-0.22369311138371117,0.8227554179566563,0.6170212765957447,0.7505577867023651,Adult,Sex,Valid,{4.28},,-0.20787328732596289,0.34247480246555784,0.8944463892776915,0.09324782616363396,-0.21434044664655746,-0.22444563841804255,3,69.5,71.0,64.0
di1,-,eop2,Random Forest,64.0,-0.10986639840728377,0.6225868487084253,0.12980918896899113,-0.019362065000239834,-0.036347864927061546,0.8081601061477223,0.6097137901127494,0.6273984828201695,Adult,Sex,Valid,{6.87},,-0.20787328732596289,0.34247480246555784,0.8945126710313579,0.11875671832303863,-0.08300116744310194,-0.07680468929534334,3,83.5,57.0,64.0
rw1,egr_fp2,cpp3,-,64.0,-0.1457864922685238,0.3837576545473959,0.1316848197243557,-0.038513701657398466,-0.03180033596690823,0.8448695267580717,0.7456037514654161,0.5676037483266398,Adult,Sex,Valid,{95.59},,-0.20787328732596289,0.34247480246555784,0.7754702806850245,0.1450426100556762,-0.1360620395426585,-0.18176359970093126,4,67.0,73.5,64.0
rw1,gsr_eo2,roc3,-,64.0,-0.054747293678658215,0.8527620413693153,0.09850584873902221,0.10737143090181608,0.16256849614350122,0.7880362671384343,0.550625,0.786256135653726,Adult,Sex,Valid,{37.71},,-0.20787328732596289,0.34247480246555784,0.905094105331775,0.1450426100556762,-0.1360620395426585,-0.18176359970093126,4,71.5,69.0,64.0
-,-,eop1,Naive Bayes,69.0,-0.10828243458684772,0.6993255361655235,0.1265076184314319,-0.00807781058807655,-0.005107473807204221,0.7653693056169837,0.5202725724020443,0.6813922356091031,Adult,Sex,Valid,{0.13},,-0.20787328732596289,0.34247480246555784,0.8977636254262973,0.09324782616363396,-0.21434044664655746,-0.22444563841804255,3,91.75,49.0,69.0
-,pr1,eop2,-,69.0,-0.10786065727241809,0.5530961162842473,0.14088215789171918,-0.008822924829826294,-0.005308147683025899,0.8225342768686422,0.6707841031149302,0.5573404730031236,Adult,Sex,Valid,{65.83},,-0.20787328732596289,0.34247480246555784,0.9060152938013344,0.1450426100556762,-0.1360620395426585,-0.18176359970093126,4,67.75,73.0,69.0
rw1,-,eop2,Random Forest,69.0,-0.11001507851129338,0.6124251151691522,0.1276564030923852,-0.02300322181732118,-0.04827015882366259,0.8159000442282176,0.6285714285714286,0.6282909415439536,Adult,Sex,Valid,{3.34},,-0.20787328732596289,0.34247480246555784,0.8924736789941545,0.11875671832303863,-0.08300116744310194,-0.07680468929534334,3,81.25,59.5,69.0
-,egr_fp1,cpp2,-,72.0,-0.14477774983409206,0.38802162848681143,0.13163312057680518,-0.03658383271985692,-0.02869474590479648,0.8447589562140646,0.7448800468110006,0.5680499776885319,Adult,Sex,Valid,{90.58},,-0.20787328732596289,0.34247480246555784,0.7762628412288644,0.1450426100556762,-0.1360620395426585,-0.18176359970093126,4,67.5,73.5,72.0
rw1,pr2,eop3,-,73.0,-0.10786065727241809,0.5530961162842473,0.14136212131738102,-0.009906983971416122,-0.007371528261031379,0.8218708536045998,0.6691729323308271,0.5560017849174476,Adult,Sex,Valid,{65.08},,-0.20787328732596289,0.34247480246555784,0.9060152938013344,0.1450426100556762,-0.1360620395426585,-0.18176359970093126,4,68.5,73.0,73.0
