Pre,In_p,Post,Classifier,Mean Difference,Disparate Impact,Theil Index,Average Odds Difference,Equal Opportunity Difference,Accuracy,Precision,Recall,Dataset,Sens_Attr,Valid,Time,Failed,AUC,Orig Disparate Impact,Orig Mean Difference,Orig Theil,Orig Av Odds,Orig Eq Opp Diff,Score,Rank,Ovr_Rank
rw1,pr2,eop3,-,-0.06840145735224071,0.7390093298788714,0.002593674871548902,0.014321058140641364,-0.021505376344086002,0.9939186200796107,0.9940313813294454,0.9939186200796107,Adult,Race,Valid,{116.33},,1.0,0.5899387783582407,-0.10747045153345433,0.13235324548201044,0.05349972896322445,0.08265442272976997,4,44.0,33.0
-,-,eop1,Random Forest,-0.07505149891500046,0.7136356189817428,0.002870402585577133,0.00160180163034861,-0.043010752688172005,0.9939186200796107,0.9940024127395052,0.9939186200796107,Adult,Race,Valid,{3.22},,1.0,0.5899387783582407,-0.10747045153345433,0.12157310419134698,-0.04246530535910843,-0.045122046935091364,4,46.0,23.0
di1,-,eop2,Random Forest,-0.06175141578948093,0.7643830407760001,0.0029260871902051172,0.018254194817140874,-0.021505376344086002,0.9930340557275542,0.9931867232721819,0.9930340557275542,Adult,Race,Valid,{14.51},,1.0,0.5899387783582407,-0.10747045153345433,0.12157310419134698,-0.04246530535910843,-0.045122046935091364,4,46.0,24.0
di1,-,eop2,Naive Bayes,0.022107402072551047,1.0885312255622435,0.01665500063652117,0.09292250715931358,0.047201946472019474,0.9736842105263158,0.9739146001891992,0.9736842105263158,Adult,Race,Valid,{9.54},,1.0,0.5899387783582407,-0.10747045153345433,0.09476150603363609,-0.10915473518884747,-0.11871124715485448,4,48.0,28.0
di1,pr2,eop3,-,-0.09084534762655491,0.6533730556010623,0.0036029443840337296,-0.029704697560820895,-0.09677419354838712,0.9938080495356038,0.9938393476993208,0.9938080495356038,Adult,Race,Valid,{125.11},,1.0,0.5899387783582407,-0.10747045153345433,0.13235324548201044,0.05349972896322445,0.08265442272976997,3,49.0,35.0
rw1,-,eop2,Random Forest,-0.10943348028192457,0.6392748242558783,0.014900153135648674,0.05826835298592618,0.025627615062761455,0.9687085360459974,0.9705301237057488,0.9687085360459974,Adult,Sex,Valid,{3.79},,1.0,0.3639989002863867,-0.19801890614760276,0.11968978759475425,-0.0623760079631464,-0.03530414213223787,4,50.0,22.0
-,-,eop1,Naive Bayes,0.0016675990591475953,1.0071140610570055,0.028467282479964617,0.10097897781509954,0.10559610705596112,0.9651702786377709,0.9649751006724306,0.9651702786377709,Adult,Race,Valid,{0.08},,1.0,0.5899387783582407,-0.10747045153345433,0.09476150603363609,-0.10915473518884747,-0.11871124715485448,4,51.0,29.0
rw1,-,eop2,Naive Bayes,0.0016675990591475953,1.0071140610570055,0.028467282479964624,0.10097897781509954,0.10559610705596112,0.9651702786377709,0.9649751006724306,0.9651702786377709,Adult,Race,Valid,{0.1},,1.0,0.5899387783582407,-0.10747045153345433,0.09476150603363609,-0.10915473518884747,-0.11871124715485448,4,52.0,30.0
di1,-,eop2,Naive Bayes,-0.06147686896120075,0.7921093324390233,0.024521745824177744,0.09328642069227844,0.05020920502092052,0.9505749668288368,0.9541265843519513,0.9505749668288368,Adult,Sex,Valid,{6.02},,1.0,0.3639989002863867,-0.19801890614760276,0.09476150603363609,-0.1932084249071155,-0.18495408935407165,4,53.0,28.0
di1,-,eop2,Logistic Regression,-0.11192000055196172,0.6181662647835573,0.02056104705543477,0.06755599119615857,0.05857740585774063,0.9658337019018134,0.9664730170003403,0.9658337019018134,Adult,Sex,Valid,{9.25},,1.0,0.3639989002863867,-0.19801890614760276,0.13235324548201044,-0.07659947753750228,-0.07869828693517822,4,54.0,27.0
-,-,eop1,Logistic Regression,-0.1199392794636289,0.5423630704261245,0.0025811629303104594,-0.05350176039585118,-0.11290322580645162,0.9970145953118089,0.9970152332999984,0.9970145953118089,Adult,Race,Valid,{3.16},,1.0,0.5899387783582407,-0.10747045153345433,0.13235324548201044,0.05349972896322445,0.08265442272976997,2,55.0,25.0
rw1,-,eop2,Logistic Regression,-0.1199392794636289,0.5423630704261245,0.0025811629303104594,-0.05350176039585118,-0.11290322580645162,0.9970145953118089,0.9970152332999984,0.9970145953118089,Adult,Race,Valid,{1.54},,1.0,0.5899387783582407,-0.10747045153345433,0.13235324548201044,0.05349972896322445,0.08265442272976997,2,55.0,26.0
-,-,eop1,Random Forest,-0.0939824784685844,0.6731900338190392,0.025801058733216146,0.08344021157828688,0.07635983263598323,0.9580937638213181,0.9588474314328812,0.9580937638213181,Adult,Sex,Valid,{3.64},,1.0,0.3639989002863867,-0.19801890614760276,0.11968978759475425,-0.0623760079631464,-0.03530414213223787,2,57.0,23.0
di1,-,eop2,Logistic Regression,-0.12492681063569872,0.523332787253278,0.0024783214744137742,-0.05864814286167412,-0.11827956989247312,0.9974568774878373,0.9974633174223765,0.9974568774878373,Adult,Race,Valid,{8.51},,1.0,0.5899387783582407,-0.10747045153345433,0.13235324548201044,0.05349972896322445,0.08265442272976997,2,58.0,27.0
di1,pr2,cpp3,-,-0.11245798270552415,0.5709084951853942,0.0006636434266354055,-0.016129032258064502,-0.032258064516129004,0.9993365767359575,0.9993371613356908,0.9993365767359575,Adult,Race,Valid,{112.67},,0.9999976386510322,0.5899387783582407,-0.10747045153345433,0.13235324548201044,0.05349972896322445,0.08265442272976997,4,58.0,38.0
rw1,pr2,cpp3,-,-0.08476926546024938,0.6458839581918938,0.01987781809286175,0.04330900243309005,0.0866180048661801,0.9803184431667403,0.9808202791667863,0.9803184431667403,Adult,Race,Valid,{158.36},,0.9969760302745928,0.5899387783582407,-0.10747045153345433,0.13235324548201044,0.05349972896322445,0.08265442272976997,3,60.0,36.0
-,-,eop1,Logistic Regression,-0.109665315426214,0.6184392623046004,0.024124693881066132,0.07476620891892857,0.07688284518828448,0.9630694383016365,0.9633358941663407,0.9630694383016365,Adult,Sex,Valid,{0.67},,1.0,0.3639989002863867,-0.19801890614760276,0.13235324548201044,-0.07659947753750228,-0.07869828693517822,4,61.0,25.0
rw1,-,eop2,Logistic Regression,-0.109665315426214,0.6184392623046004,0.024124693881066132,0.07476620891892857,0.07688284518828448,0.9630694383016365,0.9633358941663407,0.9630694383016365,Adult,Sex,Valid,{2.7},,1.0,0.3639989002863867,-0.19801890614760276,0.13235324548201044,-0.07659947753750228,-0.07869828693517822,4,61.0,26.0
-,pr1,cpp2,-,-0.0826011746555051,0.6517871986699917,0.021797096130510202,0.04744525547445255,0.0948905109489051,0.9784387439186201,0.9790395505685013,0.9784387439186201,Adult,Race,Valid,{162.73},,0.996610480335768,0.5899387783582407,-0.10747045153345433,0.13235324548201044,0.05349972896322445,0.08265442272976997,3,63.0,37.0
di1,pr2,eop3,-,-0.10668410506726106,0.6221758424348038,0.027403424544076526,0.08170740231409687,0.09309623430962344,0.9603051747014595,0.9603232473681846,0.9603051747014595,Adult,Sex,Valid,{183.78},,1.0,0.3639989002863867,-0.19801890614760276,0.13235324548201044,-0.07659947753750228,-0.07869828693517822,2,63.0,35.0
di1,-,eop2,Random Forest,-0.07464828005864929,0.7356314372317386,0.030999665114527904,0.09977267037936494,0.09309623430962344,0.9500221141088014,0.9509849258975143,0.9500221141088014,Adult,Sex,Valid,{9.53},,1.0,0.3639989002863867,-0.19801890614760276,0.11968978759475425,-0.0623760079631464,-0.03530414213223787,2,65.0,24.0
